DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ052,2011,13200,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ052,2012,12900,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ052,2013,12800,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ052,2014,12600,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ052,2015,13700,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ052,2016,14500,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ052,2017,16200,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ052,2018,17500,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ052,2019,18700,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2000,5600,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2001,6300,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2002,7100,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2003,7200,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2004,7700,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2005,8600,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2006,9900,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2007,11000,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2008,12400,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2009,11300,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2010,12000,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2011,12900,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2012,12000,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2013,11900,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2014,11900,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2015,12700,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2016,13300,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2017,14800,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2018,15900,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ053,2019,16600,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2000,5400,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2001,6300,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2002,7200,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2003,7200,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2004,7700,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2005,8800,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2006,10000,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2007,11100,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2008,12200,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2009,11500,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2010,11900,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2011,12800,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2012,12800,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2013,12500,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2014,12400,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2015,13000,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2016,13600,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2017,14900,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2018,15700,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ063,2019,17000,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ064,2000,5900,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ064,2001,6700,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ064,2002,7700,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ064,2003,7900,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,EUR_HAB,CZ064,2004,8500,
